edges,nodes,time
79979,10000,1.244359843
119207,15000,1.4649816439999999
159918,20000,1.776693323
769593,30000,4.103593019
400486,50000,3.911884928
600095,75000,4.891164509999999
800185,100000,5.837759182
2399413,300000,16.28032671
3993425,500000,35.996094896
8007736,1000000,137.04826374200002
