edges,nodes,time
79979,10000,0.053384484999999995
119207,15000,0.216811003
159918,20000,0.064994096
769593,30000,0.190537078
400486,50000,0.074958572
600095,75000,0.428837288
800185,100000,0.17869447600000002
2399413,300000,10.887863903
3993425,500000,4.766925397
8007736,1000000,0.7320172380000001
